id,title,owner,access,webmap_version,version_source,status,reason,url,created,modified,migration_priority,ref_app_count,ref_app_ids,ref_maptour_count,ref_maptour_ids,ref_public_app_count,ref_public_maptour_count
44317e50f7a54c268ff0a357fc38100c,USGS Historical Map and Faults,FedGISContent,private,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=44317e50f7a54c268ff0a357fc38100c,1391778551000,1391796552000,LOW,0,,0,,0,0
c0b0754e00064c62a36e52a7321e446a,USGS Shale Gas Basins and Plays-Copy,glazou2,public,1.6,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=c0b0754e00064c62a36e52a7321e446a,1343244746000,1361609877000,LOW,0,,0,,0,0
024ca75eb4c74742807f8690dd80c9cb,"Vacancy Rates for Owned Homes: U.S. States and Metropolitan Areas, 1995 - 2011",StoryMaps,public,1.5,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=024ca75eb4c74742807f8690dd80c9cb,1331823079000,1478279145000,LOW,0,,0,,0,0
3b532924c8094fd9aca038fdc423e76c,"Vacancy Rates for Owned Homes: U.S. States and Metropolitan Areas, 1995 - 2011 - Revised",StoryMaps,public,1.5,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=3b532924c8094fd9aca038fdc423e76c,1335905940000,1478279145000,LOW,0,,0,,0,0
c7e015e30f6c42e39a0106d0bf540d7a,"Vacancy Rates for Rented Homes: U.S. States and Metropolitan Areas, 1995 - 2011",StoryMaps,public,1.5,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=c7e015e30f6c42e39a0106d0bf540d7a,1331823075000,1478279145000,LOW,0,,0,,0,0
025c2e64ffdb4e81a63297807994755b,"Vacancy Rates for Rented Homes: U.S. States and Metropolitan Areas, 1995 - 2011 - Revised",StoryMaps,public,1.5,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=025c2e64ffdb4e81a63297807994755b,1335906842000,1478279145000,LOW,0,,0,,0,0
40fb22d1a24946d1b29b77c892c8f55e,Vancouver - Buildings,sabinebarrera,shared,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=40fb22d1a24946d1b29b77c892c8f55e,1400860676000,1400901721000,LOW,0,,0,,0,0
ff536e8f80964f14b1468e0cf38d93de,Vancouver - Buildings - No Address,sabinebarrera,shared,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=ff536e8f80964f14b1468e0cf38d93de,1400861015000,1400901701000,LOW,0,,0,,0,0
075a80b8d8bb4236b850a02959f191f6,Vancouver - Water Main,sabinebarrera,private,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=075a80b8d8bb4236b850a02959f191f6,1400884027000,1401400229000,LOW,0,,0,,0,0
a334a48e2ed74c968b94b65785060350,Vancouver Assessments,sabinebarrera,private,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=a334a48e2ed74c968b94b65785060350,1400961033000,1400961033000,LOW,0,,0,,0,0
088d8d78fc524ef8bd8734fdd3da81aa,Vancouver_MS,sabinebarrera,private,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=088d8d78fc524ef8bd8734fdd3da81aa,1402091851000,1402106253000,LOW,0,,0,,0,0
efa30725bcf945d8922a6affd961b624,Various places,StoryMaps,public,1.9.1,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=efa30725bcf945d8922a6affd961b624,1432208719000,1432208732000,HIGH,1,e5c5870d9ed14ce496863ac7c7df5986,1,e5c5870d9ed14ce496863ac7c7df5986,1,1
20c6e65ab2444be89759b8819c6e2421,veeeedio tour,skitterman,public,1.9,data.version,LEGACY,version_lt_2.0,https://www.arcgis.com/home/item.html?id=20c6e65ab2444be89759b8819c6e2421,1478302883000,1478302922000,HIGH,3,3e21aeee89a540d0bf2f9eac8a1a80e2;9994871cfbe74b5a9bf83e2a69c0d9cb;9d6db4ba1245441f934943802586b045,1,9d6db4ba1245441f934943802586b045,1,0
